VehId,Trip,window_id,duration_s,sample_count,mean_speed_kmh,max_speed_kmh,std_speed_kmh,mean_pos_accel_ms2,max_pos_accel_ms2,mean_neg_accel_ms2,min_neg_accel_ms2,hard_braking_events,hard_braking_rate_min,rapid_accel_events,rapid_accel_rate_min,high_jerk_events,idle_ratio,mean_power_kw,total_energy_kwh,cluster_id,cluster_label,pca_x,pca_y
455,1984,5,92.0,56,10.38,38.96,13.33,0.678,1.628,-0.607,-1.062,0,0.0,0,0.0,0,0.482,3.43,0.0668,1,Moderado / Regular,-0.3542168132395389,-1.5737916484756052
455,1984,6,106.0,76,29.5,60.61,24.41,0.652,1.674,-0.998,-1.502,0,0.0,0,0.0,0,0.289,4.8,0.1165,1,Moderado / Regular,0.7063645412493588,0.028912385258910905
455,1984,7,120.0,120,59.68,77.26,14.1,0.564,2.164,-0.49,-2.309,3,1.5,1,0.5,0,0.0,9.6,0.3199,2,Agressivo / Dinâmico,1.2499538600830515,1.0387202615589073
455,1984,8,52.0,52,67.45,73.07,3.2,0.223,0.477,-0.258,-0.533,0,0.0,0,0.0,0,0.0,10.64,0.1537,0,Econômico / Suave,-2.79075906477231,1.9936576030766118
455,1997,0,79.0,79,44.08,65.71,12.83,0.717,2.03,-0.671,-2.33,1,0.76,1,0.76,0,0.0,3.81,0.0837,2,Agressivo / Dinâmico,1.1584408261037509,-0.24584414097570734
455,1998,0,76.0,59,26.14,50.62,20.28,0.651,1.718,-0.449,-1.236,0,0.0,0,0.0,0,0.271,4.9,0.0823,1,Moderado / Regular,0.3973635376706554,-0.38038803183602515
455,2006,0,80.0,80,56.75,73.65,14.34,0.391,1.048,-0.618,-1.332,0,0.0,0,0.0,0,0.0,4.0,0.0888,0,Econômico / Suave,-1.0452876505861188,1.553328024080847
455,2007,0,120.0,113,51.12,82.17,25.83,0.623,1.354,-0.755,-2.008,1,0.5,0,0.0,0,0.08,7.58,0.2392,1,Moderado / Regular,0.7981335752868093,1.4365945029961447
455,2007,1,120.0,118,66.03,86.51,21.53,0.573,1.321,-0.772,-3.195,4,2.0,0,0.0,0,0.017,13.18,0.4327,0,Econômico / Suave,0.8745335353572694,2.2791844370619727
455,2007,2,120.0,120,85.99,93.35,6.15,0.219,0.531,-0.364,-1.83,0,0.0,0,0.0,0,0.0,4.88,0.1628,0,Econômico / Suave,-2.2826220008007,3.0779500952617
455,2007,3,120.0,114,52.4,78.82,27.71,0.595,2.299,-0.835,-2.602,5,2.5,2,1.0,0,0.053,9.28,0.3051,2,Agressivo / Dinâmico,2.911298998938491,1.3023916528408763
455,2007,4,120.0,119,78.16,90.46,15.21,0.518,2.077,-0.67,-3.305,4,2.0,2,1.0,0,0.0,8.65,0.2879,2,Agressivo / Dinâmico,1.7435222543571927,2.061518820887068
455,2007,5,120.0,118,48.92,71.16,19.8,0.558,1.562,-0.747,-1.805,0,0.0,0,0.0,0,0.017,5.98,0.1928,1,Moderado / Regular,0.24701989301108038,0.9681555442554657
455,2007,6,120.0,115,48.33,73.28,20.34,0.604,1.751,-0.889,-2.781,3,1.5,0,0.0,0,0.07,2.27,0.0731,1,Moderado / Regular,0.9735428740027299,1.0392478185179987
455,2007,7,41.0,41,61.72,68.42,10.63,0.176,0.302,-0.76,-2.188,1,1.46,0,0.0,0,0.0,-1.38,-0.0157,0,Econômico / Suave,-2.2538158936930657,2.4776645991531865
455,2013,0,120.0,118,51.05,75.11,23.56,0.56,2.028,-0.7,-2.628,3,1.5,1,0.5,0,0.059,6.08,0.1996,2,Agressivo / Dinâmico,1.6931305744004244,1.1776476315035853
455,2013,1,101.0,85,36.93,73.73,27.23,0.654,1.831,-0.917,-1.989,0,0.0,0,0.0,0,0.235,-0.72,-0.0146,1,Moderado / Regular,1.1872444997918898,0.49895956132017677
455,2013,2,124.0,107,27.55,54.51,18.72,0.62,2.026,-0.718,-2.298,1,0.48,1,0.48,0,0.206,3.94,0.1256,1,Moderado / Regular,0.9165874765522669,-0.527297350103346
455,2013,3,116.0,111,84.21,122.03,35.28,0.705,1.744,-0.479,-1.177,0,0.0,0,0.0,0,0.027,17.52,0.5406,1,Moderado / Regular,2.4408001382879547,3.25865576984186
455,2013,4,120.0,120,112.43,119.33,4.33,0.243,0.302,-0.3,-0.623,0,0.0,0,0.0,0,0.0,19.19,0.6395,0,Econômico / Suave,-2.261156822872233,4.34648859706679
455,2013,5,101.0,96,63.39,109.26,31.86,0.75,1.9,-0.816,-2.143,3,1.78,0,0.0,0,0.042,3.03,0.0872,2,Agressivo / Dinâmico,2.640485614036923,2.1484116631141825
455,2014,0,120.0,119,59.68,106.56,24.93,0.633,2.036,-0.752,-2.317,3,1.5,1,0.5,0,0.017,10.37,0.3445,2,Agressivo / Dinâmico,2.1051918302089803,1.5496022739345365
455,2014,1,120.0,119,102.71,113.79,7.24,0.3,0.877,-0.29,-0.637,0,0.0,0,0.0,0,0.0,8.76,0.2991,0,Econômico / Suave,-1.4046645493197394,3.7085362888464104
455,2014,2,120.0,120,52.32,108.66,24.47,0.457,1.11,-0.699,-2.196,2,1.0,0,0.0,0,0.0,4.12,0.1375,0,Econômico / Suave,0.14383566985472102,1.88994246543153
455,2014,3,120.0,115,47.64,83.33,26.54,0.51,1.835,-0.747,-2.626,3,1.5,0,0.0,0,0.165,3.85,0.1239,1,Moderado / Regular,1.2764503949604156,1.4888447580172806
